date,open,high,low,close,preclose,volume,amount,turn,pctChg,divident
2015-12-30,1342.986,1350.171,1337.157,1346.364,1338.712,474762704,11539345152.0,0.010808,0.5716,0.0
2015-12-31,1348.041,1349.196,1320.6,1320.767,1346.364,435765296,10388232448.0,0.00992,-1.9012,0.0
2016-01-04,1317.844,1320.431,1210.306,1210.466,1320.767,478056496,11147572736.0,0.010882,-8.3513,0.0
2016-01-05,1158.307,1217.996,1150.919,1195.363,1210.466,670005008,14362389760.0,0.015252,-1.2477,0.0
2016-01-06,1200.127,1215.519,1184.356,1214.674,1195.363,477043504,10550989056.0,0.010859,1.6155,0.0
2016-01-07,1193.173,1193.173,1110.911,1113.289,1214.674,136317700,2878139712.0,0.003103,-8.3467,0.0
2016-01-08,1139.315,1150.514,1078.004,1127.964,1113.289,621849104,12221606144.0,0.014156,1.3182,0.0
2016-01-11,1103.302,1119.562,1055.605,1057.661,1127.964,577001904,10742500352.0,0.013135,-6.2327,0.0
2016-01-12,1060.378,1080.764,1042.903,1067.775,1057.661,457757200,8819872512.0,0.01042,0.9563,0.0
2016-01-13,1075.335,1080.456,1033.617,1033.617,1067.775,409233408,7646971904.0,0.009316,-3.199,0.0
2016-01-14,1003.579,1071.497,1001.324,1069.131,1033.617,481749408,8978090752.0,0.010966,3.4359,0.0
2016-01-15,1061.337,1073.283,1030.155,1038.552,1069.131,427650096,8282685952.0,0.009735,-2.8602,0.0
2016-01-18,1018.426,1065.152,1018.426,1054.066,1038.552,431068096,8432683008.0,0.009813,1.4938,0.0
2016-01-19,1049.366,1084.369,1041.765,1083.21,1054.066,512092304,10235322624.0,0.011657,2.7649,0.0
2016-01-20,1076.654,1090.619,1061.093,1067.265,1083.21,488208096,9814751488.0,0.011113,-1.472,0.0
2016-01-21,1050.933,1081.883,1029.535,1029.729,1067.265,493006608,9787447552.0,0.011222,-3.517,0.0
2016-01-22,1046.139,1050.716,1016.104,1042.558,1029.729,380856608,7898807296.0,0.008669,1.2459,0.0
2016-01-25,1052.435,1058.01,1039.281,1048.252,1042.558,315520496,6611201536.0,0.007182,0.5462,0.0
2016-01-26,1036.905,1037.919,962.281,963.699,1048.252,474647696,8829139712.0,0.010804,-8.0661,0.0
2016-01-27,970.116,974.182,910.055,953.684,963.699,506153296,8869572352.0,0.011522,-1.0392,0.0
2016-01-28,941.296,957.96,919.384,920.655,953.684,343510096,5934805248.0,0.007819,-3.4633,0.0
2016-01-29,919.207,966.947,919.207,958.699,920.655,377450400,6762181120.0,0.008591,4.1323,0.0
2016-02-01,955.435,965.562,935.573,949.761,958.699,286254000,5043900416.0,0.006516,-0.9323,0.0
2016-02-02,951.56,985.589,951.54,980.9,949.761,323268400,5894963200.0,0.007357,3.2786,0.0
2016-02-03,970.145,988.37,964.705,984.11,980.9,302995600,5425356544.0,0.006895,0.3272,0.0
2016-02-04,986.976,1007.679,986.976,1002.325,984.11,346489504,6467307264.0,0.007885,1.8509,0.0
2016-02-05,1005.264,1007.561,992.221,995.052,1002.325,250491200,4852689664.0,0.0057,-0.7256,0.0
2016-02-15,964.286,999.881,963.884,995.236,995.052,249301600,4887013120.0,0.005673,0.0185,0.0
2016-02-16,999.669,1033.111,999.669,1030.486,995.236,405388896,7820017664.0,0.009225,3.5419,0.0
2016-02-17,1028.732,1040.793,1022.527,1040.793,1030.486,407840400,7875947008.0,0.009281,1.0002,0.0
2016-02-18,1055.254,1059.015,1037.696,1040.57,1040.793,481924000,9306084352.0,0.010967,-0.0214,0.0
2016-02-19,1039.006,1050.161,1036.168,1043.652,1040.57,445549904,8786775552.0,0.010139,0.2962,0.0
2016-02-22,1046.549,1057.738,1041.716,1057.61,1043.652,873923808,13242229760.0,0.019888,1.3374,0.0
2016-02-23,1059.927,1065.244,1036.134,1047.632,1057.61,645677104,11147348480.0,0.014694,-0.9435,0.0
2016-02-24,1045.263,1063.879,1035.433,1063.726,1047.632,669118304,11020571136.0,0.015227,1.5362,0.0
2016-02-25,1060.964,1060.964,974.609,980.54,1063.726,771327408,11911764992.0,0.017553,-7.8202,0.0
2016-02-26,989.547,1003.175,968.704,992.544,980.54,608239904,9179751424.0,0.013842,1.2242,0.0
2016-02-29,982.703,982.703,922.307,933.808,992.544,687004400,9766010624.0,0.015634,-5.9177,0.0
2016-03-01,936.609,962.951,917.556,956.265,933.808,588275696,8383968512.0,0.013387,2.4049,0.0
2016-03-02,957.543,1011.231,957.139,1009.63,956.265,823546704,11440635392.0,0.018741,5.5806,0.0
