date,open,high,low,close,preclose,volume,amount,turn,pctChg,divident
2015-12-30,7397.013,7428.887,7353.011,7424.5,7392.064,3150818400,52401724672.0,0.002716,0.4388,0.0
2015-12-31,7419.625,7451.172,7364.124,7372.891,7424.5,3262493696,52497181184.0,0.002813,-0.6951,0.0
2016-01-04,7357.201,7357.201,6835.631,6835.631,7372.891,3182290000,46387970048.0,0.002744,-7.287,0.0
2016-01-05,6633.483,6924.34,6616.649,6824.441,6835.631,4379347200,61466284800.0,0.003776,-0.1637,0.0
2016-01-06,6837.999,6922.332,6784.232,6914.195,6824.441,3199876608,45513320704.0,0.002759,1.3152,0.0
2016-01-07,6802.366,6802.366,6396.748,6416.566,6914.195,1053495408,13546131712.0,0.000906,-7.1972,0.0
2016-01-08,6568.5,6638.969,6272.631,6527.585,6416.566,4620746496,61298434304.0,0.003969,1.7302,0.0
2016-01-11,6408.539,6465.92,6134.597,6135.233,6527.585,4472654336,55067720704.0,0.003841,-6.0107,0.0
2016-01-12,6177.016,6230.793,6085.072,6168.556,6135.233,3310477696,42023702016.0,0.002843,0.5431,0.0
2016-01-13,6222.59,6265.708,6019.665,6021.2,6168.556,3119498400,39240994048.0,0.002679,-2.3888,0.0
2016-01-14,5868.897,6176.131,5854.355,6162.617,6021.2,3634454704,42579780352.0,0.003121,2.3487,0.0
2016-01-15,6121.983,6148.561,5914.585,5956.475,6162.617,3237571008,37789645312.0,0.002781,-3.345,0.0
2016-01-18,5854.032,6066.905,5853.69,5998.767,5956.475,2771326000,32423734272.0,0.00238,0.71,0.0
2016-01-19,6006.392,6191.614,5991.309,6186.916,5998.767,3329255600,41511598592.0,0.002859,3.1365,0.0
2016-01-20,6151.069,6199.564,6051.651,6084.38,6186.916,3383324704,42121557760.0,0.002906,-1.6573,0.0
2016-01-21,6015.088,6148.114,5908.145,5909.779,6084.38,3171026704,37384678912.0,0.002723,-2.8697,0.0
2016-01-22,5979.605,6002.123,5847.476,5973.853,5909.779,2561707296,30176709376.0,0.0022,1.0842,0.0
2016-01-25,5994.867,6040.878,5946.332,6003.493,5973.853,2221097008,25714947584.0,0.001908,0.4962,0.0
2016-01-26,5938.064,5950.174,5606.177,5623.379,6003.493,3621377104,39789878272.0,0.00311,-6.3316,0.0
2016-01-27,5627.954,5657.356,5391.551,5583.676,5623.379,3748415904,39531848704.0,0.003219,-0.706,0.0
2016-01-28,5527.148,5593.502,5399.864,5415.385,5583.676,2688262800,30052705536.0,0.002309,-3.014,0.0
2016-01-29,5417.497,5638.015,5416.566,5600.053,5415.385,3226144608,35935871488.0,0.002771,3.4101,0.0
2016-02-01,5596.254,5615.512,5476.842,5536.865,5600.053,2415047504,26754853376.0,0.002074,-1.1283,0.0
2016-02-02,5541.057,5693.553,5540.911,5675.748,5536.865,2309521296,27062538240.0,0.001983,2.5083,0.0
2016-02-03,5609.858,5673.459,5568.194,5661.322,5675.748,2093369904,23121230336.0,0.001798,-0.2542,0.0
2016-02-04,5687.032,5763.039,5686.533,5744.879,5661.322,2376561104,27855287040.0,0.002041,1.4759,0.0
2016-02-05,5744.046,5765.442,5716.163,5717.158,5744.879,2017848896,23992555520.0,0.001733,-0.4825,0.0
2016-02-15,5566.854,5722.457,5562.305,5697.386,5717.158,1922826496,22551747840.0,0.001651,-0.3458,0.0
2016-02-16,5719.738,5890.264,5719.738,5882.741,5697.386,2938205200,33813436416.0,0.002523,3.2533,0.0
2016-02-17,5868.991,5923.972,5843.458,5921.389,5882.741,3038492208,35308761088.0,0.002609,0.657,0.0
2016-02-18,5954.965,5970.167,5896.385,5905.469,5921.389,3112677408,36577267200.0,0.002673,-0.2689,0.0
2016-02-19,5893.401,5936.411,5867.582,5911.686,5905.469,2330113200,27215430656.0,0.002001,0.1053,0.0
2016-02-22,5977.177,6038.864,5950.981,6028.686,5911.686,3600362896,41838592512.0,0.003092,1.9791,0.0
2016-02-23,6024.131,6026.552,5914.107,5972.437,6028.686,2793453600,32979330560.0,0.002399,-0.933,0.0
2016-02-24,5966.359,6030.618,5921.252,6029.374,5972.437,2673062608,32352124160.0,0.002296,0.9533,0.0
2016-02-25,6022.504,6022.732,5625.681,5645.476,6029.374,4311626240,48635637504.0,0.003703,-6.3671,0.0
2016-02-26,5683.379,5712.289,5586.784,5678.588,5645.476,2869742208,31830848768.0,0.002464,0.5865,0.0
2016-02-29,5664.415,5667.103,5401.109,5507.654,5678.588,3734826096,39244153600.0,0.003207,-3.0102,0.0
2016-03-01,5506.469,5619.053,5434.727,5585.425,5507.654,2969763104,33181590784.0,0.00255,1.4121,0.0
2016-03-02,5594.53,5804.212,5592.896,5797.099,5585.425,4284548496,47617002240.0,0.003679,3.7898,0.0
