stock_code,trade_date,open,high,low,close,volume,amount,close_org,close_back
561330.SH,20221102,1.028,1.048,1.021,1.046,869579.0,89995776.0,1.046,1.046
561330.SH,20221103,1.028,1.042,1.02,1.04,521910.0,54088924.0,1.04,1.04
561330.SH,20221104,1.041,1.092,1.033,1.091,538446.0,57248428.0,1.091,1.091
561330.SH,20221107,1.093,1.121,1.093,1.11,359007.0,39925960.0,1.11,1.11
561330.SH,20221108,1.108,1.118,1.09,1.114,347433.0,38577392.0,1.114,1.114
561330.SH,20221109,1.125,1.146,1.115,1.116,303132.0,34078368.0,1.116,1.116
561330.SH,20221110,1.111,1.111,1.085,1.092,275230.0,30077592.0,1.092,1.092
561330.SH,20221111,1.13,1.201,1.112,1.129,424700.0,47797996.0,1.129,1.129
561330.SH,20221114,1.126,1.126,1.09,1.096,327256.0,36437104.0,1.096,1.096
561330.SH,20221115,1.081,1.109,1.081,1.108,696806.0,76691456.0,1.108,1.108
561330.SH,20221116,1.098,1.106,1.093,1.096,318462.0,34950016.0,1.096,1.096
561330.SH,20221117,1.085,1.093,1.065,1.078,324443.0,34915784.0,1.078,1.078
561330.SH,20221118,1.069,1.076,1.057,1.059,303344.0,32392458.0,1.059,1.059
561330.SH,20221121,1.059,1.062,1.048,1.06,294113.0,31034008.0,1.06,1.06
561330.SH,20221122,1.058,1.067,1.05,1.057,771517.0,81442576.0,1.057,1.057
561330.SH,20221123,1.057,1.063,1.051,1.058,222455.0,23505488.0,1.058,1.058
561330.SH,20221124,1.059,1.079,1.059,1.069,209104.0,22351496.0,1.069,1.069
561330.SH,20221125,1.062,1.071,1.056,1.062,233271.0,24830974.0,1.062,1.062
561330.SH,20221128,1.061,1.061,1.027,1.042,239203.0,24751280.0,1.042,1.042
561330.SH,20221129,1.043,1.062,1.043,1.062,237028.0,24854368.0,1.062,1.062
561330.SH,20221130,1.062,1.072,1.053,1.06,237206.0,25078596.0,1.06,1.06
561330.SH,20221201,1.063,1.089,1.063,1.079,210689.0,22866820.0,1.079,1.079
561330.SH,20221202,1.079,1.079,1.058,1.061,208627.0,22298376.0,1.061,1.061
561330.SH,20221205,1.062,1.081,1.062,1.077,284973.0,30575754.0,1.077,1.077
561330.SH,20221206,1.077,1.084,1.061,1.078,229682.0,24726944.0,1.078,1.078
561330.SH,20221207,1.078,1.088,1.073,1.078,214774.0,23276052.0,1.078,1.078
561330.SH,20221208,1.072,1.087,1.071,1.075,204942.0,22106452.0,1.075,1.075
561330.SH,20221209,1.079,1.093,1.074,1.092,290405.0,31424344.0,1.092,1.092
561330.SH,20221212,1.09,1.091,1.058,1.059,210055.0,22434840.0,1.059,1.059
561330.SH,20221213,1.062,1.076,1.06,1.067,254440.0,27274244.0,1.067,1.067

date,open,high,low,close,adj_close,volume,dividend
2022-10-19,1.0,1.0,1.0,1.0,1.0,0,0.0
2022-10-21,1.0002,1.0002,1.0002,1.0002,1.0002,0,0.0
2022-10-28,0.9943,0.9943,0.9943,0.9943,0.9943,0,0.0
2022-10-31,0.9936,0.9936,0.9936,0.9936,0.9936,0,0.0
2022-11-01,0.992,1.048,0.991,1.038,1.038,433886865,0.0
2022-11-02,1.028,1.048,1.021,1.046,1.046,86957900,0.0
2022-11-03,1.028,1.042,1.02,1.04,1.04,52191000,0.0
2022-11-04,1.041,1.092,1.033,1.091,1.091,53844600,0.0
2022-11-07,1.093,1.121,1.093,1.11,1.11,35900707,0.0
2022-11-08,1.108,1.118,1.09,1.114,1.114,34743280,0.0
2022-11-09,1.125,1.146,1.115,1.116,1.116,30313200,0.0
2022-11-10,1.111,1.111,1.085,1.092,1.092,27523000,0.0
2022-11-11,1.13,1.201,1.112,1.129,1.129,42470000,0.0
2022-11-14,1.126,1.126,1.09,1.096,1.096,32725600,0.0
2022-11-15,1.081,1.109,1.081,1.108,1.108,69680600,0.0
2022-11-16,1.098,1.106,1.093,1.096,1.096,31846200,0.0
2022-11-17,1.085,1.093,1.065,1.078,1.078,32444300,0.0
2022-11-18,1.069,1.076,1.057,1.059,1.059,30334400,0.0
2022-11-21,1.059,1.062,1.048,1.06,1.06,29411300,0.0
2022-11-22,1.058,1.067,1.05,1.057,1.057,77151700,0.0
2022-11-23,1.057,1.063,1.051,1.058,1.058,22245500,0.0
2022-11-24,1.059,1.079,1.059,1.069,1.069,20910400,0.0
2022-11-25,1.062,1.071,1.056,1.062,1.062,23327100,0.0
2022-11-28,1.061,1.061,1.027,1.042,1.042,23920300,0.0
2022-11-29,1.043,1.062,1.043,1.062,1.062,23702800,0.0
2022-11-30,1.062,1.072,1.053,1.06,1.06,23720600,0.0
2022-12-01,1.063,1.089,1.063,1.079,1.079,21068900,0.0
2022-12-02,1.079,1.079,1.058,1.061,1.061,20862700,0.0
2022-12-05,1.062,1.081,1.062,1.077,1.077,28497300,0.0
2022-12-06,1.077,1.084,1.061,1.078,1.078,22968200,0.0
2022-12-07,1.078,1.088,1.073,1.078,1.078,21477400,0.0
2022-12-08,1.072,1.087,1.071,1.075,1.075,20494200,0.0
2022-12-09,1.079,1.093,1.074,1.092,1.092,29040500,0.0
2022-12-12,1.09,1.091,1.058,1.059,1.059,21005500,0.0
2022-12-13,1.062,1.076,1.06,1.067,1.067,25444000,0.0
