stock_code,trade_date,open,high,low,close,volume,amount,close_org,close_back
159001.SZ,20210429,100.0,100.001,99.999,100.001,64870.0,648702400.0,100.001,100.001
159003.SZ,20210429,99.999,99.999,99.995,99.999,7459.0,74585440.0,99.999,99.999
159005.SZ,20210429,100.0,100.002,99.999,100.002,33.0,328899.0,100.002,100.002
159801.SZ,20210429,0.604,0.616,0.6035,0.609,609950.0,74545176.0,1.218,1.218
159804.SZ,20210429,1.07,1.083,1.067,1.068,14344.0,1539924.0,1.068,1.068
159805.SZ,20210429,1.045,1.049,1.041,1.046,21617.0,2260658.0,1.046,1.046
159806.SZ,20210429,0.6843333333333333,0.6863333333333334,0.6746666666666666,0.6819999999999999,262148.0,53678704.0,2.046,2.046
159807.SZ,20210429,0.8,0.8035,0.7915,0.799,321816.0,51421536.0,1.598,1.598
159808.SZ,20210429,1.142,1.148,1.13,1.144,10279.0,1174060.0,1.144,1.144
159810.SZ,20210429,1.205,1.212,1.195,1.206,12323.0,1485089.0,1.206,1.206
159811.SZ,20210429,1.063,1.076,1.062,1.067,60980.0,6516349.0,1.067,1.067
159812.SZ,20210429,3.709,3.716,3.687,3.688,1613.0,596949.0,3.688,3.688
159813.SZ,20210429,0.7593333333333333,0.774,0.758,0.7639999999999999,319988.0,36840792.0,1.146,1.146
159814.SZ,20210429,0.608,0.611,0.6,0.608,162412.0,9859564.0,0.608,1.2518720092773437
159819.SZ,20210429,0.903,0.912,0.901,0.904,494330.0,44693624.0,0.904,0.904
159820.SZ,20210429,1.0,1.002,0.995,1.0,348337.0,34817068.0,1.0,1.0
159821.SZ,20210429,1.126,1.131,1.121,1.124,1224.0,138041.0,1.124,1.124
159822.SZ,20210429,1.068,1.07,1.063,1.069,145760.0,15550931.0,1.069,1.069
159824.SZ,20210429,1.002,1.005,0.987,0.998,280149.0,27940620.0,0.998,0.998
159825.SZ,20210429,1.019,1.031,1.014,1.029,466486.0,47817772.0,1.029,1.029
159827.SZ,20210429,1.028,1.042,1.023,1.04,75981.0,7866491.0,1.04,1.04
159828.SZ,20210429,1.03,1.037,1.015,1.03,557803.0,57340328.0,1.03,1.03
159835.SZ,20210429,1.164,1.171,1.145,1.16,38067.0,4422692.0,1.16,1.16
159837.SZ,20210429,1.002,1.009,0.983,0.997,1068210.0,106490768.0,0.997,0.997
159839.SZ,20210429,1.019,1.023,0.995,1.012,293632.0,29706548.0,1.012,1.012
159841.SZ,20210429,0.902,0.932,0.902,0.926,853445.0,78725744.0,0.926,0.926
159842.SZ,20210429,0.959,0.989,0.958,0.982,129713.0,12678954.0,0.982,0.982
