stock_code,trade_date,open,high,low,close,volume,amount,close_org,close_back
159001.SZ,20221230,100.0,100.001,99.999,100.0,153938.0,1539389568.0,100.0,100.0
159003.SZ,20221230,99.999,100.042,99.999,100.003,2109.0,21087780.0,100.003,100.003
159005.SZ,20221230,100.0,100.004,100.0,100.004,160.0,1597814.0,100.004,100.004
159601.SZ,20221230,0.808,0.812,0.806,0.807,2264857.0,183162448.0,0.807,0.807
159602.SZ,20221230,0.7709999991953373,0.7729999991953374,0.7679999991953373,0.7699999991953373,312864.0,25323730.0,0.809,0.809
159603.SZ,20221230,0.932,0.937,0.928,0.928,53044.0,4950117.0,0.928,0.928
159605.SZ,20221230,0.819,0.824,0.803,0.804,19200966.0,1559777152.0,0.804,0.804
159606.SZ,20221230,0.837,0.843,0.834,0.836,58160.0,4878708.0,0.836,0.836
159607.SZ,20221230,0.823,0.828,0.806,0.806,7602506.0,620041280.0,0.806,0.806
159608.SZ,20221230,0.753,0.758,0.74,0.743,179094.0,13402474.0,0.743,0.743
159609.SZ,20221230,0.8,0.806,0.791,0.798,244308.0,19565528.0,0.798,0.798
159610.SZ,20221230,0.797,0.797,0.776,0.782,697561.0,54499544.0,0.782,0.782
159611.SZ,20221230,0.854,0.868,0.853,0.863,871230.0,74987784.0,0.863,0.863
159612.SZ,20221230,0.996,0.998,0.993,0.994,72902.0,7257575.0,0.994,0.994
159613.SZ,20221230,0.736,0.743,0.734,0.739,84897.0,6276666.0,0.739,0.739
159615.SZ,20221230,1.045,1.051,1.023,1.027,501895.0,52010788.0,1.027,1.027
159616.SZ,20221230,0.879,0.885,0.878,0.883,33315.0,2930207.0,0.883,0.883
159617.SZ,20221230,0.954,0.961,0.954,0.96,17152.0,1644971.0,0.96,0.96
159618.SZ,20221230,1.096,1.112,1.09,1.105,90594.0,10002416.0,1.105,1.105
159619.SZ,20221230,0.848,0.853,0.842,0.853,400142.0,33868744.0,0.853,0.853
159620.SZ,20221230,0.929,0.929,0.924,0.927,11808.0,1092998.0,0.927,0.927
159621.SZ,20221230,0.96,0.963,0.96,0.96,3832.0,368603.0,0.96,0.96
159623.SZ,20221230,0.8444999996572733,0.8484999996572733,0.8444999996572733,0.8474999996572733,2378.0,208988.0,0.878,0.878
159625.SZ,20221230,1.035,1.052,1.035,1.047,353425.0,36892052.0,1.047,1.047
159627.SZ,20221230,1.021,1.028,1.021,1.025,8388.0,861084.0,1.025,1.025
159628.SZ,20221230,0.93,0.938,0.93,0.937,200458.0,18716394.0,0.937,0.937
159629.SZ,20221230,2.512963732225595,2.512963732225595,2.49301957562063,2.50631568002394,7436861.0,1399940864.0,1.885,0.8823685213923455
159630.SZ,20221230,1.06,1.063,1.058,1.058,35637.0,3774752.0,1.058,1.058
159631.SZ,20221230,0.916,0.924,0.916,0.921,212985.0,19615470.0,0.921,0.921
159632.SZ,20221230,0.884,0.888,0.878,0.878,7179028.0,634844352.0,0.878,0.878
159633.SZ,20221230,2.5159320415247803,2.5159320415247803,2.4946893435488455,2.5000000180428295,6164694.0,1161562752.0,1.883,0.8880227926373482
159635.SZ,20221230,0.905,0.914,0.904,0.912,300295.0,27271556.0,0.912,0.912
159636.SZ,20221230,0.465,0.471,0.458,0.4585,808533.0,74942752.0,0.917,0.917
159637.SZ,20221230,0.839,0.839,0.817,0.817,633991.0,52213940.0,0.817,0.817
159638.SZ,20221230,0.875,0.877,0.866,0.87,588881.0,51321688.0,0.87,0.87
159639.SZ,20221230,0.808,0.814,0.806,0.807,328814.0,26647460.0,0.807,0.807
159640.SZ,20221230,0.818,0.821,0.814,0.814,170051.0,13886918.0,0.814,0.814
159641.SZ,20221230,0.821,0.825,0.818,0.818,103322.0,8504435.0,0.818,0.818
159642.SZ,20221230,0.817,0.826,0.815,0.815,189967.0,15611562.0,0.815,0.815
159643.SZ,20221230,0.938,0.949,0.934,0.944,128202.0,12117158.0,0.944,0.944
