stock_code,trade_date,open,high,low,close,volume,amount,close_org,close_back
159001.SZ,20180809,100.0,100.001,99.999,100.001,320189.0,3201889280.0,100.001,100.001
159003.SZ,20180809,99.999,100.001,99.999,100.001,32805.0,328051488.0,100.001,100.001
159005.SZ,20180809,100.0,100.002,99.999,100.001,601370.0,6013703680.0,100.001,100.001
159901.SZ,20180809,1.8399999991059304,1.9104999991059304,1.8324999991059303,1.9044999991059304,293107.0,115646360.0,3.979,4.098999760150909
159902.SZ,20180809,2.802,2.921,2.802,2.91,120643.0,34852868.0,2.91,3.0300000010430814
159903.SZ,20180809,0.921,0.947,0.921,0.943,24223.0,2278186.0,0.943,0.943
159905.SZ,20180809,1.0509999982714653,1.0939999982714652,1.0489999982714653,1.0879999982714652,22099.0,3064468.0,1.394,1.394
159906.SZ,20180809,0.827,0.885,0.827,0.88,45.0,3937.0,0.88,0.88
159907.SZ,20180809,0.575,0.5965,0.575,0.595,2582.0,305944.0,1.19,1.19
159909.SZ,20180809,0.4162285134117172,0.4292962714977363,0.4162285134117172,0.4255188726759964,459.0,190439.0,4.168,4.168
159910.SZ,20180809,1.468,1.508,1.468,1.503,4156.0,624066.0,1.503,1.503
159912.SZ,20180809,1.23,1.23,1.176,1.196,166.0,19966.0,1.196,1.196
159913.SZ,20180809,1.524,1.57,1.524,1.565,435.0,68095.0,1.565,1.565
159915.SZ,20180809,1.379,1.437,1.376,1.426,10025652.0,1418011008.0,1.426,1.426
159916.SZ,20180809,3.195,3.278,3.178,3.205,800.0,255717.0,3.205,3.205
159919.SZ,20180809,2.898022529716832,2.988055841130196,2.884517533004827,2.97184984507579,177583.0,66332904.0,3.752,1.4340144100189207
159920.SZ,20180809,1.488,1.512,1.481,1.507,2145196.0,321551488.0,1.507,1.5829999975562095
159922.SZ,20180809,1.7195618752394108,1.777911613088871,1.7170560582765506,1.7696782144966157,3465.0,1779757.0,5.193,5.193
159923.SZ,20180809,1.417,1.45,1.416,1.448,4488.0,646245.0,1.448,1.448
159925.SZ,20180809,2.605369498135268,2.666938516882972,2.605369498135268,2.666938516882972,1861.0,266955.0,1.443,1.443
159928.SZ,20180809,0.51075,0.5245,0.509,0.52275,27770.0,5792703.0,2.091,2.091
159929.SZ,20180809,1.474,1.53,1.474,1.52,23273.0,3503474.0,1.52,1.52
159930.SZ,20180809,0.74,0.748,0.731,0.74,3588.0,265449.0,0.74,0.74
