stock_code,trade_date,open,high,low,close,volume,amount,close_org,close_back
561680.SH,20250908,0.997,1.003,0.995,1.0,965452.0,96637728.0,1.0,1.0
561680.SH,20250909,1.0,1.007,0.999,1.004,849865.0,85353080.0,1.004,1.004
561680.SH,20250910,1.004,1.004,0.999,1.004,184598.0,18491828.0,1.004,1.004
561680.SH,20250911,1.004,1.007,0.998,1.005,325746.0,32703108.0,1.005,1.005
561680.SH,20250912,1.005,1.008,0.999,0.999,990535.0,99534872.0,0.999,0.999
561680.SH,20250915,1.0,1.003,0.996,0.998,102462.0,10229898.0,0.998,0.998
561680.SH,20250916,0.998,1.0,0.99,0.991,137207.0,13620320.0,0.991,0.991
561680.SH,20250917,0.989,0.999,0.989,0.996,177406.0,17643932.0,0.996,0.996
561680.SH,20250918,0.995,0.996,0.978,0.98,130768.0,12892818.0,0.98,0.98
561680.SH,20250919,0.98,0.986,0.976,0.983,135395.0,13270047.0,0.983,0.983
561680.SH,20250922,0.982,0.982,0.97,0.973,94216.0,9181921.0,0.973,0.973
561680.SH,20250923,0.972,0.981,0.967,0.977,115061.0,11210547.0,0.977,0.977
561680.SH,20250924,0.978,0.981,0.973,0.979,93109.0,9101605.0,0.979,0.979
561680.SH,20250925,0.979,0.979,0.97,0.973,143935.0,13996049.0,0.973,0.973
561680.SH,20250926,0.972,0.977,0.97,0.975,50478.0,4914464.0,0.975,0.975
561680.SH,20250929,0.976,0.979,0.968,0.978,73942.0,7192322.0,0.978,0.978
561680.SH,20250930,0.978,0.978,0.97,0.973,42984.0,4183266.0,0.973,0.973
561680.SH,20251009,0.973,0.986,0.97,0.986,112017.0,10989034.0,0.986,0.986
561680.SH,20251010,0.986,0.994,0.98,0.989,129311.0,12803625.0,0.989,0.989
561680.SH,20251013,0.986,0.991,0.97,0.989,71587.0,7034291.0,0.989,0.989
561680.SH,20251014,0.987,1.0,0.985,0.999,1063032.0,105878752.0,0.999,0.999
561680.SH,20251015,0.995,1.003,0.994,1.001,265732.0,26597482.0,1.001,1.001
561680.SH,20251016,1.001,1.007,1.001,1.006,284380.0,28590160.0,1.006,1.006
561680.SH,20251017,1.006,1.012,0.997,1.0,329460.0,33174832.0,1.0,1.0
561680.SH,20251020,0.999,1.002,0.993,1.0,80242.0,8002474.0,1.0,1.0
561680.SH,20251021,0.999,1.008,0.999,1.003,124849.0,12551978.0,1.003,1.003
561680.SH,20251022,1.003,1.011,1.003,1.01,368079.0,37127048.0,1.01,1.01
561680.SH,20251023,1.009,1.018,1.006,1.018,423627.0,42921672.0,1.018,1.018
561680.SH,20251024,1.018,1.018,1.01,1.01,174113.0,17640940.0,1.01,1.01
561680.SH,20251027,1.01,1.022,1.006,1.019,325384.0,33127236.0,1.019,1.019
561680.SH,20251028,1.017,1.019,1.011,1.014,74633.0,7569860.0,1.014,1.014
561680.SH,20251029,1.013,1.014,1.008,1.012,107627.0,10886644.0,1.012,1.012
561680.SH,20251030,1.011,1.02,1.011,1.014,97679.0,9916722.0,1.014,1.014
561680.SH,20251031,1.009,1.014,1.005,1.009,52191.0,5258399.0,1.009,1.009
561680.SH,20251103,1.007,1.016,1.007,1.015,97980.0,9929917.0,1.015,1.015
561680.SH,20251104,1.015,1.025,1.011,1.019,235446.0,24024820.0,1.019,1.019
561680.SH,20251105,1.018,1.026,1.012,1.022,169650.0,17336504.0,1.022,1.022
561680.SH,20251106,1.022,1.033,1.022,1.027,180060.0,18537012.0,1.027,1.027
561680.SH,20251107,1.035,1.038,1.033,1.035,138427.0,14337513.0,1.035,1.035
561680.SH,20251110,1.033,1.046,1.033,1.045,95443.0,9941778.0,1.045,1.045
561680.SH,20251111,1.044,1.046,1.04,1.044,160953.0,16784332.0,1.044,1.044
561680.SH,20251112,1.045,1.05,1.043,1.047,92742.0,9710995.0,1.047,1.047
561680.SH,20251113,1.043,1.048,1.04,1.046,78074.0,8149412.0,1.046,1.046
561680.SH,20251114,1.043,1.05,1.041,1.041,78234.0,8190760.0,1.041,1.041
561680.SH,20251117,1.042,1.042,1.029,1.031,94225.0,9720746.0,1.031,1.031
561680.SH,20251118,1.031,1.031,1.021,1.023,88820.0,9107151.0,1.023,1.023
561680.SH,20251119,1.023,1.03,1.023,1.028,74686.0,7672751.0,1.028,1.028
561680.SH,20251120,1.028,1.039,1.026,1.03,80824.0,8351809.0,1.03,1.03
561680.SH,20251121,1.03,1.03,1.015,1.016,132312.0,13485468.0,1.016,1.016
561680.SH,20251124,1.016,1.018,1.008,1.009,45641.0,4618603.0,1.009,1.009
561680.SH,20251125,1.01,1.016,1.008,1.015,45816.0,4637146.0,1.015,1.015
561680.SH,20251126,1.014,1.018,1.009,1.011,21085.0,2133230.0,1.011,1.011
561680.SH,20251127,1.014,1.016,1.007,1.012,49266.0,4987792.0,1.012,1.012
561680.SH,20251202,1.015,1.016,1.012,1.015,29087.0,2948767.0,1.015,1.015
561680.SH,20251205,1.011,1.012,1.005,1.01,39281.0,3964591.0,1.01,1.01
561680.SH,20251208,1.01,1.013,1.006,1.007,49545.0,4997525.0,1.007,1.007
561680.SH,20251209,1.006,1.006,1.0,1.001,43690.0,4381455.0,1.001,1.001
561680.SH,20251210,1.001,1.001,0.993,0.997,55023.0,5480883.0,0.997,0.997
561680.SH,20251215,0.993,1.002,0.993,0.999,61532.0,6137325.0,0.999,0.999
561680.SH,20251216,0.997,0.997,0.99,0.993,23694.0,2352606.0,0.993,0.993
561680.SH,20251217,0.993,0.999,0.989,0.997,43790.0,4352878.0,0.997,0.997
561680.SH,20251218,0.996,1.006,0.996,1.005,51276.0,5131159.0,1.005,1.005
561680.SH,20251219,1.01,1.01,1.0,1.005,74945.0,7519939.0,1.005,1.005
561680.SH,20251222,1.005,1.005,1.0,1.002,5097.0,509927.0,1.002,1.002
561680.SH,20251223,1.0,1.007,0.999,1.001,84818.0,8515866.0,1.001,1.001
561680.SH,20251224,0.999,1.003,0.996,1.001,23140.0,2311804.0,1.001,1.001
561680.SH,20251225,1.001,1.004,1.0,1.003,12194.0,1222884.0,1.003,1.003
561680.SH,20251226,1.003,1.004,0.999,1.001,112666.0,11264723.0,1.001,1.001
561680.SH,20251229,0.999,1.005,0.998,1.002,59656.0,5979354.0,1.002,1.002
561680.SH,20251230,1.003,1.005,0.997,1.001,14562.0,1456771.0,1.001,1.001
561680.SH,20251231,1.003,1.005,1.001,1.004,51457.0,5161461.0,1.004,1.004
